SPEAKER_SPEAKER_00 [00:00:00 - 00:00:01]  여보세요?
SPEAKER_SPEAKER_00 [00:02:26 - 00:02:30]  맛밤을 찍어서
SPEAKER_SPEAKER_00 [00:02:31 - 00:02:35]  죄송해요. 붙여넣기 안 돼서 그런데 한번만 해봐주세요.
SPEAKER_SPEAKER_01 [00:02:35 - 00:02:38]  제가 찍을게요.
SPEAKER_SPEAKER_01 [00:02:44 - 00:02:47]  화면 없어졌는데?
SPEAKER_SPEAKER_00 [00:02:47 - 00:02:52]  이게 뭐야? 이게 뭐지?
SPEAKER_SPEAKER_00 [00:02:52 - 00:02:58]  잠깐만요. 저 화면이 뭔가 좀 보고요. 윈도우
SPEAKER_SPEAKER_00 [00:02:58 - 00:03:02]  이게 뭐야? 이런 게 왜 뜨지?
SPEAKER_SPEAKER_00 [00:03:09 - 00:03:12]  아우, 그러게요.
SPEAKER_SPEAKER_00 [00:03:12 - 00:03:16]  한번만 다시 해보시겠어요?
SPEAKER_SPEAKER_00 [00:03:16 - 00:03:19]  아우들이
SPEAKER_SPEAKER_00 [00:03:19 - 00:03:22]  아고.
SPEAKER_SPEAKER_01 [00:03:22 - 00:03:28]  이렇게 나와요. 전부 다.
SPEAKER_SPEAKER_01 [00:03:28 - 00:03:31]  결제 실패 조회 불가 카드.
SPEAKER_SPEAKER_00 [00:03:31 - 00:03:35]  죄송한데요. 지금 IC칩을 위쪽으로 해서 꽂으셨죠?
SPEAKER_SPEAKER_01 [00:03:35 - 00:03:38]  아래쪽으로 한번만 해봐주시겠어요?
SPEAKER_SPEAKER_01 [00:03:38 - 00:03:39]  IC칩을요?
SPEAKER_SPEAKER_00 [00:03:39 - 00:03:42]  네. IC칩을 안으로 넣었는데 아래쪽 방향으로.
SPEAKER_SPEAKER_01 [00:03:42 - 00:03:44]  여태까지 다 위로 해서 잘했는데요?
SPEAKER_SPEAKER_01 [00:03:44 - 00:03:46]  맞아요. 위가 맞아요.
SPEAKER_SPEAKER_01 [00:03:46 - 00:03:48]  이것도 조회 불가 카드?
SPEAKER_SPEAKER_00 [00:03:48 - 00:03:50]  알겠습니다. 이거 한번 확인해보고 말씀드릴게요.
SPEAKER_SPEAKER_00 [00:03:50 - 00:03:51]  네.
SPEAKER_SPEAKER_00 [00:03:52 - 00:03:53]  감사합니다.
